 | backups/27-08-21 09:22/Luxcut_DM20VS-MESA-orig2.hal | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1629792533 | 713e17fb4ce283517c9d7ef8a096c5b2 | 11368 | 00273210ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/27-08-21 09:22/Luxcut_DM20VS-MESA.hal | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1629792533 | de22c624ebfb52bd4854028bbe9b0282 | 11368 | 00273211ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/27-08-21 09:22/Luxcut_DM20VS-MESA.ini | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1629939061 | da73bc0a423f4329f8f2ec130e210dc4 | 4674 | 00273212ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/27-08-21 09:22/Luxcut_DM20VS-MESA.ini.bak | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1629794845 | daee94106099a64b1f0f7220e8cd0dc6 | 4674 | 00273214ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/27-08-21 09:22/Luxcut_DM20VS-MESA.org | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1629676556 | f3e25523f68b83609e8bce275c70445f | 4565 | 00273213ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/27-08-21 09:22/autosave.halscope | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1629794859 | 8e432069cadbb50d846599714a93942d | 225 | 00273215ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/27-08-21 09:22/custom.hal | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1629956920 | a94d5b1acb1d5315f7a4dcdddb1e96c7 | 2994 | 00273216ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/27-08-21 09:22/custom_config.yml | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1590483661 | 3d87bd1a611cc284248e7d4204f67f05 | 103 | 00273217ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/27-08-21 09:22/custom_gvcp.hal | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1629676556 | c8a8464a3959ab088818ff32a6b140a3 | 108 | 00273218ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/27-08-21 09:22/custom_postgui.hal | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1629962609 | ed51b58532fafa4ec5ec92204fa7567c | 8335 | 00273221ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/27-08-21 09:22/hal-widgets.hal | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1590483661 | 9e9cf1793d73ab43a0257c9f4e23dec7 | 605 | 00273222ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/27-08-21 09:22/hal-widgets.ini | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1590483661 | b43ec2cdbd22b7523009b8baa92c8b2d | 4040 | 00273219ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/27-08-21 09:22/hal-widgets.ui | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1590483661 | c9389999d98b095db872d8a72e823611 | 12103 | 00273220ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/27-08-21 09:22/joypad_preloader.hal | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1630012859 | 1124d9f6dcaf16ba028bb78c41242b3e | 2633 | 00273223ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/27-08-21 09:22/linuxcnc.var | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1629785196 | 25e9aea41b957c2e36189265746e73cd | 1666 | 00273224ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/27-08-21 09:22/linuxcnc.var.bak | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1629785196 | c99537a1a47394167afaf7608938dec7 | 1666 | 00273225ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/27-08-21 09:22/mdi_history.dat | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1629784303 | 23d2cd60b461cfe4cebe1cbcc751f9b5 | 48 | 00273226ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/27-08-21 09:22/my.halshow | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1629943533 | dfeaa349ba9284348940d6afefeedca4 | 147 | 00273227ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/27-08-21 09:22/my.halshow.halscope | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1629794857 | 2010c1074c4fb6962267690d285915a4 | 225 | 00273228ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/27-08-21 09:22/myscope.halscope | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1629697261 | d4c20371b954c26bd1c2782c10f3057e | 211 | 00273229ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/27-08-21 09:22/postgui_call_list.hal | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1629784561 | a789ec32311d087996fd4a5f3ec9765b | 87 | 00273230ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/27-08-21 09:22/preloader.hal | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1585887810 | d4ce2435e7af7e3b4ef742d294c05746 | 2240 | 00273231ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/27-08-21 09:22/probe-results.ngc | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1590483661 | 4e5eb2858b5d43287514f84b9bd078e2 | 0 | 00273232ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/27-08-21 09:22/qtdragon.log | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1629779904 | 291fc50768ff802244e6b9c901f4cc83 | 1437 | 00273233ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/27-08-21 09:22/qtdragon.var | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1629965351 | edf74fc9370324fd04ade35eacb66d70 | 1672 | 00273235ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/27-08-21 09:22/qtdragon.var.bak | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1629965348 | 22d70a8e8faaab18eb38c56a3b2f4cdf | 1672 | 00273234ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/27-08-21 09:22/shutdown.hal | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1629676556 | f97aed28ea190dc4155d6d7bb1845122 | 105 | 00273237ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/27-08-21 09:22/tool.tbl | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1629784560 | d77a9cf3421bdfbf7e2761e2c88e4e65 | 32 | 00273238ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
#=#=#=# Syncrun finished 2022-01-25T04:56:15Z (last step: 285 msec , total: 1344 msec) 
#=#=#=# Syncrun started  2022-01-25T04:56:17Z 
#=#=#=#=# Propagation starts 2022-01-25T04:56:18Z (last step: 651 msec , total: 651 msec) 
#=#=#=# Syncrun finished 2022-01-25T04:56:18Z (last step: 57 msec , total: 708 msec) 
#=#=#=# Syncrun started  2022-01-25T06:59:30Z 
#=#=#=#=# Propagation starts 2022-01-25T06:59:30Z (last step: 514 msec , total: 514 msec) 
2022-01-25T06:59:30Z | backups | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1630012972 |  | 4096 |  | OCC::SyncFileItem::NormalError | Server replied "403 Forbidden" to "MKCOL https://snaggingpixels.com/remote.php/dav/files/bruce/Shares/CNC Files/Bruce's setup/backups" | 403 | 0 | 0 | 53213879-b5e6-4982-89d7-d3cbe5ae8f07 | 
2022-01-25T06:59:30Z | Test_servo | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1630563821 |  | 4096 |  | OCC::SyncFileItem::NormalError | Server replied "403 Forbidden" to "MKCOL https://snaggingpixels.com/remote.php/dav/files/bruce/Shares/CNC Files/Bruce's setup/Test_servo" | 403 | 0 | 0 | cd7fa042-9f0b-4cf5-ab03-e1e3dd85a2b8 | 
